Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T,Integer
01/06/2015,00:00:00,8.907457281,0,0.076981279,0,3.753543107,0,7
01/06/2015,01:00:00,6.662969202,891,0.076981279,8,2.83865595,375,7
01/06/2015,02:00:00,5.844995554,1557,0.076981279,15,2.954552359,659,7
01/06/2015,03:00:00,6.69784976,2142,0.076981279,23,2.91493387,955,7
01/06/2015,04:00:00,7.354351691,2811,0.076981279,31,4.328716023,1246,7
01/06/2015,05:00:00,16.21326598,3547,17.46132911,38,9.714117782,1679,7
01/06/2015,06:00:00,20.55311682,5168,15.86013917,1785,12.69061026,2650,7
01/06/2015,07:00:00,22.07236106,7223,12.57198128,3371,13.39949118,3920,7
01/06/2015,08:00:00,25.53158496,9431,13.40498128,4628,16.35110408,5259,7
01/06/2015,09:00:00,25.61197074,11984,11.18364795,5968,15.46086018,6895,7
01/06/2015,10:00:00,24.4573387,14545,11.50098128,7087,15.06237169,8441,7
01/06/2015,11:00:00,22.85610371,16991,10.88346777,8237,14.14897642,9947,7
01/06/2015,12:00:00,23.33607754,19276,11.18364795,9325,14.39655863,11362,7
01/06/2015,13:00:00,21.54766598,21610,10.32928897,10444,12.90549739,12801,7
01/06/2015,14:00:00,19.9942418,23765,10.07298128,11476,12.15879639,14092,7
01/06/2015,15:00:00,19.36283193,25764,6.740981279,12484,11.55842116,15308,7
01/06/2015,16:00:00,19.37557496,27700,10.07298128,13158,12.08040345,16464,7
01/06/2015,17:00:00,18.81843807,29638,11.18364795,14165,12.53403091,17672,7
01/06/2015,18:00:00,18.39552052,31520,12.9750458,15283,12.15879639,18925,7
01/06/2015,19:00:00,16.21326598,33359,12.57198128,16581,10.89712919,20141,7
01/06/2015,20:00:00,15.10666172,34981,9.596981279,17838,9.714117782,21231,7
01/06/2015,21:00:00,13.62056877,36491,6.526013537,18798,8.242712475,22202,7
01/06/2015,22:00:00,11.9771248,37853,5.338033911,19450,5.728655103,23026,7
01/06/2015,23:00:00,9.568662468,39051,0.076981279,19984,4.006948239,23599,7
