Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T,Integer
04/06/15,00:00:00,8.907457281,120024,0.0369658,59976,3.753543107,72000,56
04/06/15,01:00:00,6.662969202,120915,0.0369658,59980,2.83865595,72375,56
04/06/15,02:00:00,5.844995554,121581,0.0369658,59983,2.954552359,72659,56
04/06/15,03:00:00,6.69784976,122166,0.0369658,59987,2.91493387,72955,56
04/06/15,04:00:00,7.354351691,122835,0.0369658,59991,4.328716023,73246,56
04/06/15,05:00:00,16.21326598,123571,8.384791887,59994,9.714117782,73679,56
04/06/15,06:00:00,20.55311682,125192,7.615913169,60833,12.69061026,74650,56
04/06/15,07:00:00,22.07236106,127247,6.0369658,61595,13.39949118,75920,56
04/06/15,08:00:00,25.53158496,129455,6.4369658,62198,16.35110408,77259,56
04/06/15,09:00:00,25.61197074,132008,5.370299134,62842,15.46086018,78895,56
04/06/15,10:00:00,24.4573387,134569,5.522680086,63379,15.06237169,80441,56
04/06/15,11:00:00,22.85610371,137015,5.226154989,63931,14.14897642,81947,56
04/06/15,12:00:00,23.33607754,139300,5.370299134,64454,14.39655863,83362,56
04/06/15,13:00:00,21.54766598,141634,4.960042723,64991,12.90549739,84801,56
04/06/15,14:00:00,19.9942418,143789,4.8369658,65487,12.15879639,86092,56
04/06/15,15:00:00,19.36283193,145788,3.2369658,65971,11.55842116,87308,56
04/06/15,16:00:00,19.37557496,147724,4.8369658,66294,12.08040345,88464,56
04/06/15,17:00:00,18.81843807,149662,5.370299134,66778,12.53403091,89672,56
04/06/15,18:00:00,18.39552052,151544,6.230514187,67315,12.15879639,90925,56
04/06/15,19:00:00,16.21326598,153383,6.0369658,67938,10.89712919,92141,56
04/06/15,20:00:00,15.10666172,155005,4.608394372,68542,9.714117782,93231,56
04/06/15,21:00:00,13.62056877,156515,3.133739994,69003,8.242712475,94202,56
04/06/15,22:00:00,11.9771248,157877,2.56328159,69316,5.728655103,95026,56
04/06/15,23:00:00,9.568662468,159075,0.0369658,69572,4.006948239,95599,56
05/06/15,00:00:00,8.907457281,160032,0.0369658,69576,3.753543107,96000,56
05/06/15,01:00:00,6.662969202,160923,0.0369658,69580,2.83865595,96375,56
05/06/15,02:00:00,5.844995554,161589,0.0369658,69583,2.954552359,96659,56
05/06/15,03:00:00,6.69784976,162174,0.0369658,69587,2.91493387,96955,56
05/06/15,04:00:00,7.354351691,162843,0.0369658,69591,4.328716023,97246,56
05/06/15,05:00:00,16.21326598,163579,8.384791887,69594,9.714117782,97679,56
05/06/15,06:00:00,20.55311682,165200,7.615913169,70433,12.69061026,98650,56
05/06/15,07:00:00,22.07236106,167255,6.0369658,71195,13.39949118,99920,56
05/06/15,08:00:00,25.53158496,169463,6.4369658,71798,16.35110408,101259,56
05/06/15,09:00:00,25.61197074,172016,5.370299134,72442,15.46086018,102895,56
