Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T,Integer
04/06/15,00:00:00,14.69436564,120024,0.076981279,59976,3.753543107,72000,518
04/06/15,01:00:00,10.99170084,121493,0.076981279,59984,2.83865595,72375,518
04/06/15,02:00:00,9.642314201,122593,0.076981279,59991,2.954552359,72659,518
04/06/15,03:00:00,11.04924226,123557,0.076981279,59999,2.91493387,72955,518
04/06/15,04:00:00,12.13225384,124662,0.076981279,60007,4.328716023,73246,518
04/06/15,05:00:00,26.74653955,125875,17.46132911,60014,9.714117782,73679,518
04/06/15,06:00:00,33.90586159,128550,15.86013917,61761,12.69061026,74650,518
04/06/15,07:00:00,36.41211332,131940,12.57198128,63347,13.39949118,75920,518
04/06/15,08:00:00,42.11869145,135581,13.40498128,64604,16.35110408,77259,518
04/06/15,09:00:00,42.25130146,139793,11.18364795,65944,15.46086018,78895,518
04/06/15,10:00:00,40.34653955,144018,11.50098128,67063,15.06237169,80441,518
04/06/15,11:00:00,37.70503012,148053,10.88346777,68213,14.14897642,81947,518
04/06/15,12:00:00,38.49682857,151824,11.18364795,69301,14.39655863,83362,518
04/06/15,13:00:00,35.54653955,155673,10.32928897,70420,12.90549739,84801,518
04/06/15,14:00:00,32.98390219,159228,10.07298128,71452,12.15879639,86092,518
04/06/15,15:00:00,31.94228423,162526,6.740981279,72460,11.55842116,87308,518
04/06/15,16:00:00,31.96330602,165721,10.07298128,73134,12.08040345,88464,518
04/06/15,17:00:00,31.04421397,168917,11.18364795,74141,12.53403091,89672,518
04/06/15,18:00:00,30.34653955,172021,12.9750458,75259,12.15879639,90925,518
04/06/15,19:00:00,26.74653955,175056,12.57198128,76557,10.89712919,92141,518
04/06/15,20:00:00,24.92100764,177731,9.596981279,77814,9.714117782,93231,518
04/06/15,21:00:00,22.46944458,180223,6.526013537,78774,8.242712475,94202,518
04/06/15,22:00:00,19.75830426,182470,5.338033911,79426,5.728655103,95026,518
04/06/15,23:00:00,15.78513604,184445,0.076981279,79960,4.006948239,95599,518
05/06/15,00:00:00,14.69436564,186024,0.076981279,79968,3.753543107,96000,518
05/06/15,01:00:00,10.99170084,187493,0.076981279,79976,2.83865595,96375,518
05/06/15,02:00:00,9.642314201,188593,0.076981279,79983,2.954552359,96659,518
05/06/15,03:00:00,11.04924226,189557,0.076981279,79991,2.91493387,96955,518
05/06/15,04:00:00,12.13225384,190662,0.076981279,79999,4.328716023,97246,518
05/06/15,05:00:00,26.74653955,191875,17.46132911,80006,9.714117782,97679,518
05/06/15,06:00:00,33.90586159,194550,15.86013917,81753,12.69061026,98650,518
05/06/15,07:00:00,36.41211332,197940,12.57198128,83339,13.39949118,99920,518
05/06/15,08:00:00,42.11869145,201581,13.40498128,84596,16.35110408,101259,518
05/06/15,09:00:00,42.25130146,205793,11.18364795,85936,15.46086018,102895,518
05/06/15,10:00:00,40.34653955,210018,11.50098128,87055,15.06237169,104441,518
05/06/15,11:00:00,37.70503012,214053,10.88346777,88205,14.14897642,105947,518
05/06/15,12:00:00,38.49682857,217824,11.18364795,89293,14.39655863,107362,518
05/06/15,13:00:00,35.54653955,221673,10.32928897,90412,12.90549739,108801,518
05/06/15,14:00:00,32.98390219,225228,10.07298128,91444,12.15879639,110092,518
05/06/15,15:00:00,31.94228423,228526,6.740981279,92452,11.55842116,111308,518
05/06/15,16:00:00,31.96330602,231721,10.07298128,93126,12.08040345,112464,518
05/06/15,17:00:00,31.04421397,234917,11.18364795,94133,12.53403091,113672,518
05/06/15,18:00:00,30.34653955,238021,12.9750458,95251,12.15879639,114925,518
05/06/15,19:00:00,26.74653955,241056,12.57198128,96549,10.89712919,116141,518
05/06/15,20:00:00,24.92100764,243731,9.596981279,97806,9.714117782,117231,518
05/06/15,21:00:00,22.46944458,246223,6.526013537,98766,8.242712475,118202,518
05/06/15,22:00:00,19.75830426,248470,5.338033911,99418,5.728655103,119026,518
05/06/15,23:00:00,15.78513604,250445,0.076981279,99952,4.006948239,119599,518
