Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T
01/08/15,00:00:00,8.9074572809,0,0.0769812789,0,4.6919288841,0
01/08/15,01:00:00,6.6629692023,891,0.0769812789,8,3.5483199377,469
01/08/15,02:00:00,5.844995554,1557,0.0769812789,15,3.6931904485,824
01/08/15,03:00:00,6.6978497603,2142,0.0769812789,23,3.6436673377,1193
01/08/15,04:00:00,7.3543516908,2811,0.0769812789,31,5.410895029,1558
01/08/15,05:00:00,16.2132659765,3547,17.461329105,38,12.1426472269,2099
01/08/15,06:00:00,20.553116824,5168,15.8601391737,1785,15.8632628197,3313
01/08/15,07:00:00,22.0723610585,7223,12.5719812789,3371,16.7493639746,4899
01/08/15,08:00:00,25.5315849639,9431,13.4049812789,4628,20.4388801037,6574
01/08/15,09:00:00,25.6119707384,11984,11.1836479456,5968,19.3260752256,8618
01/08/15,10:00:00,24.4573387038,14545,11.5009812789,7087,18.8279646107,10551
01/08/15,11:00:00,22.8561037124,16991,10.8834677654,8237,17.6862205292,12434
01/08/15,12:00:00,23.3360775372,19276,11.1836479456,9325,17.9956982855,14202
01/08/15,13:00:00,21.5476659765,21610,10.3292889712,10444,16.1318717355,16002
01/08/15,14:00:00,19.9942418007,23765,10.0729812789,11476,15.1984954883,17615
01/08/15,15:00:00,19.362831934,25764,6.7409812789,12484,14.4480264451,19135
01/08/15,16:00:00,19.3755749586,27700,10.0729812789,13158,15.1005043075,20580
01/08/15,17:00:00,18.8184380696,29638,11.1836479456,14165,15.6675386402,22090
01/08/15,18:00:00,18.395520522,31520,12.9750457951,15283,15.1984954883,23656
01/08/15,19:00:00,16.2132659765,33359,12.5719812789,16581,13.6214114844,25176
01/08/15,20:00:00,15.1066617212,34981,9.5969812789,17838,12.1426472269,26538
01/08/15,21:00:00,13.6205687698,36491,6.526013537,18798,10.3033905932,27753
01/08/15,22:00:00,11.9771248001,37853,5.3380339105,19450,7.1608188792,28783
